3469,"San Francisco International Airport","San Francisco","United States","SFO","KSFO",37.61899948120117,-122.375,13,-8,"A","America/Los_Angeles","airport","OurAirports"
3830,"Chicago O'Hare International Airport","Chicago","United States","ORD","KORD",41.9786,-87.9048,672,-6,"A","America/Chicago","airport","OurAirports"
3817,"Sacramento International Airport","Sacramento","United States","SMF","KSMF",38.69540023803711,-121.59100341796875,27,-8,"A","America/Los_Angeles","airport","OurAirports"
3797,"John F Kennedy International Airport","New York","United States","JFK","KJFK",40.63980103,-73.77890015,13,-5,"A","America/New_York","airport","OurAirports"
3734,"Ontario International Airport","Ontario","United States","ONT","KONT",34.055999755859375,-117.60099792480469,944,-8,"A","America/Los_Angeles","airport","OurAirports"
7907,"Ohio University Snyder Field","Athens","United States","ATO","KUNI",39.2109985352,-82.23139953610001,766,-5,"U","America/New_York","airport","OurAirports"
7908,"Springfield-Beckley Municipal Airport","Springfield","United States","SGH","KSGH",39.840301513672,-83.840202331543,1051,-5,"A","America/New_York","airport","OurAirports"
7909,"Sun Island Resort and SPA","South Aari Atoll","Maldives",\N,\N,3.488334,72.862989,0,-3,"N","America/Sao_Paulo","airport","OurAirports"
7910,"Fes Sefrou Airport","Fes","Morocco",\N,"GMFU",34.00809860229492,-4.965559959411621,1539,0,"U","Africa/Casablanca","airport","OurAirports"
4049,"University of Illinois Willard Airport","Champaign","United States","CMI","KCMI",40.03919983,-88.27809906,755,-6,"A","America/Chicago","airport","OurAirports"
3077,"Hong Kong International Airport","Hong Kong","Hong Kong","HKG","VHHH",22.308901,113.915001,28,8,"U","Asia/Hong_Kong","airport","OurAirports"
3072,"Shah Mokhdum Airport","Rajshahi","Bangladesh","RJH","VGRJ",24.43720054626465,88.61650085449219,64,6,"U","Asia/Dhaka","airport","OurAirports"
2241,"Doha International Airport","Doha","Qatar","DIA","OTBD",25.261101,51.565102,35,3,"U","Asia/Qatar","airport","OurAirports"
3484,"Los Angeles International Airport","Los Angeles","United States","LAX","KLAX",33.94250107,-118.4079971,125,-8,"A","America/Los_Angeles","airport","OurAirports"
2334,"Osaka International Airport","Osaka","Japan","ITM","RJOO",34.785499572753906,135.43800354003906,50,9,"U","Asia/Tokyo","airport","OurAirports"
1638,"Humberto Delgado Airport (Lisbon Portela Airport)","Lisbon","Portugal","LIS","LPPT",38.7813,-9.13592,374,0,"E","Europe/Lisbon","airport","OurAirports"
11051,"Hamad International Airport","Doha","Qatar","DOH","OTHH",25.273056,51.608056,13,3,"N",\N,"airport","OurAirports"
478,"Manchester Airport","Manchester","United Kingdom","MAN","EGCC",53.35369873046875,-2.2749500274658203,257,0,"E","Europe/London","airport","OurAirports"
479,"Manchester Woodford Airport","Woodfort","United Kingdom",\N,"EGCD",53.3381,-2.14889,295,0,"E","Europe/London","airport","OurAirports"
480,"Royal Marines Base Chivenor Airport","Chivenor","United Kingdom",\N,"EGDC",51.08720016479492,-4.1503400802612305,27,0,"E","Europe/London","airport","OurAirports"
481,"Newquay Cornwall Airport","Newquai","United Kingdom","NQY","EGHQ",50.44060134887695,-4.995409965515137,390,0,"E","Europe/London","airport","OurAirports"
482,"RAF Lyneham","Lyneham","United Kingdom","LYE","EGDL",51.5051,-1.99343,513,0,"E","Europe/London","airport","OurAirports"
483,"MoD Boscombe Down Airport","Boscombe Down","United Kingdom",\N,"EGDM",51.152198791503906,-1.7474100589752197,407,0,"E","Europe/London","airport","OurAirports"
484,"RNAS Culdrose","Culdrose","United Kingdom",\N,"EGDR",50.08610153198242,-5.255710124969482,267,0,"E","Europe/London","airport","OurAirports"
485,"MoD St. Athan","St. Athan","United Kingdom",\N,"EGDX",51.4048,-3.43575,163,0,"E","Europe/London","airport","OurAirports"
486,"RNAS Yeovilton","Yeovilton","United Kingdom","YEO","EGDY",51.0093994140625,-2.638819932937622,75,0,"E","Europe/London","airport","OurAirports"
487,"Haverfordwest Airport","Haverfordwest","United Kingdom","HAW","EGFE",51.833099365234375,-4.9611101150512695,159,0,"E","Europe/London","airport","OurAirports"
488,"Cardiff International Airport","Cardiff","United Kingdom","CWL","EGFF",51.39670181274414,-3.343329906463623,220,0,"E","Europe/London","airport","OurAirports"
489,"Swansea Airport","Swansea","United Kingdom","SWS","EGFH",51.60530090332031,-4.0678300857543945,299,0,"E","Europe/London","airport","OurAirports"
490,"Bristol Airport","Bristol","United Kingdom","BRS","EGGD",51.382702,-2.71909,622,0,"E","Europe/London","airport","OurAirports"
491,"Liverpool John Lennon Airport","Liverpool","United Kingdom","LPL","EGGP",53.33359909057617,-2.849720001220703,80,0,"E","Europe/London","airport","OurAirports"
492,"London Luton Airport","London","United Kingdom","LTN","EGGW",51.874698638916016,-0.36833301186561584,526,0,"E","Europe/London","airport","OurAirports"
1152,"Ghat Airport","Ghat","Libya","GHT","HLGT",25.1455993652,10.142600059500001,2296,2,"N","Africa/Tripoli","airport","OurAirports"
1153,"Kufra Airport","Kufra","Libya","AKF","HLKF",24.178699493408203,23.31399917602539,1367,2,"N","Africa/Tripoli","airport","OurAirports"
1154,"Benina International Airport","Benghazi","Libya","BEN","HLLB",32.096801757799994,20.2695007324,433,2,"N","Africa/Tripoli","airport","OurAirports"
1156,"Sabha Airport","Sebha","Libya","SEB","HLLS",26.98699951171875,14.47249984741211,1427,2,"N","Africa/Tripoli","airport","OurAirports"
1157,"Tripoli International Airport","Tripoli","Libya","TIP","HLLT",32.6635017395,13.1590003967,263,2,"N","Africa/Tripoli","airport","OurAirports"
1158,"Marsa Brega Airport","Marsa Brega","Libya","LMQ","HLMB",30.37809944152832,19.576400756835938,50,2,"N","Africa/Tripoli","airport","OurAirports"
1159,"Ras Lanuf Oil Airport","Ras Lanouf V 40","Libya",\N,"HLNF",30.5,18.52720069885254,42,2,"N","Africa/Tripoli","airport","OurAirports"
1160,"Hon Airport","Hon","Libya","HUQ","HLON",29.11009979248047,15.96560001373291,919,2,"N","Africa/Tripoli","airport","OurAirports"
1161,"Dahra Airport","Dahra","Libya",\N,"HLRA",29.47260093688965,17.934900283813477,1050,2,"N","Africa/Tripoli","airport","OurAirports"
1162,"Ghadames East Airport","Ghadames","Libya","LTD","HLTD",30.15169906616211,9.715310096740723,1122,2,"N","Africa/Tripoli","airport","OurAirports"
3585,"Indianapolis International Airport","Indianapolis","United States","IND","KIND",39.7173,-86.294403,797,-5,"A","America/New_York","airport","OurAirports"